country,year,world_rank_mean,world_rank_median,the_best_world_rank,cwur_world_rank_mean,cwur_world_rank_median,the_best_cwur_world_rank,teaching_mean,international_mean,citations_mean,cwur_score_mean,total_students_covered,avg_students_per_university,avg_international_student_share,student_staff_ratio_mean,cwur_quality_of_education_mean,cwur_alumni_employment_mean,cwur_quality_of_faculty_mean,cwur_publications_mean,cwur_influence_mean,cwur_citations_mean,rank_gap_mean,faculty_efficiency_mean,global_influence_index_mean
Colombia,2013,351.0,351.0,351.0,351.0,351.0,351,15.5,53.0,68.2,45.0,15773.0,15773.0,0.02,16.9,355.0,424.0,210.0,404.0,404.0,368.0,0.0,12.43,0.43
Colombia,2014,579.67,587.0,251.0,579.67,587.0,251,27.37,52.83,71.5,44.67,57675.0,19225.0,0.1,16.43,355.0,290.33,210.0,729.33,567.33,461.0,0.0,12.78,0.32
Colombia,2015,623.67,652.0,251.0,623.67,652.0,251,28.3,52.47,71.67,44.33,57675.0,19225.0,0.1,16.43,363.0,308.33,215.33,724.33,565.67,536.0,0.0,13.11,0.4
Croatia,2014,564.0,564.0,564.0,564.0,564.0,564,33.8,51.4,62.6,45.0,20951.0,20951.0,0.14,16.2,355.0,478.0,210.0,572.0,528.0,406.0,0.0,12.96,-0.02
Croatia,2015,551.0,551.0,551.0,551.0,551.0,551,33.8,51.4,62.6,45.0,20951.0,20951.0,0.14,16.2,367.0,567.0,218.0,553.0,541.0,428.0,0.0,13.46,0.0
Cyprus,2014,953.0,953.0,953.0,953.0,953.0,953,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,355.0,478.0,210.0,802.0,887.0,609.0,0.0,12.96,0.68
Cyprus,2015,928.0,928.0,928.0,928.0,928.0,928,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,367.0,567.0,218.0,820.0,896.0,645.0,0.0,13.46,0.71
Czech Republic,2012,301.0,301.0,301.0,301.0,301.0,301,32.3,51.4,31.0,46.0,51438.0,51438.0,0.15,13.0,288.0,519.0,163.0,236.0,234.0,201.0,0.0,12.54,-0.58
Czech Republic,2013,301.0,301.0,301.0,301.0,301.0,301,34.7,50.3,42.0,46.0,51438.0,51438.0,0.15,13.0,288.0,519.0,163.0,236.0,234.0,201.0,0.0,12.54,-0.6
Czech Republic,2014,726.2,771.0,351.0,718.6,771.0,313,32.86,51.76,58.8,45.0,135242.0,27048.4,0.14,15.56,347.6,478.0,210.0,674.6,604.2,567.0,7.6,13.6,0.19
Czech Republic,2015,684.6,716.0,301.0,678.4,716.0,270,33.34,51.9,60.1,44.4,135242.0,27048.4,0.14,15.56,337.2,565.6,197.6,655.2,600.6,515.6,6.2,12.55,0.13
Denmark,2012,198.0,178.0,125.0,189.6,178.0,93,27.82,71.66,57.6,46.6,101062.0,20212.4,0.16,10.26,293.8,341.0,158.4,277.8,271.6,202.6,8.4,18.47,-0.15
Denmark,2013,204.4,149.0,116.0,192.0,149.0,68,31.22,70.28,66.22,47.2,101062.0,20212.4,0.16,10.26,293.8,341.0,159.0,269.2,267.0,192.6,12.4,18.61,-0.12
Denmark,2014,196.4,150.0,117.0,268.0,197.0,79,28.4,71.56,65.66,48.4,101062.0,20212.4,0.16,10.26,290.4,334.2,157.0,272.0,265.6,203.0,-71.6,18.4,-0.53
Denmark,2015,217.2,160.0,121.0,258.2,174.0,74,29.62,70.14,64.14,48.2,101062.0,20212.4,0.16,10.26,302.4,366.0,161.6,266.2,265.8,185.8,-41.0,18.94,-0.61
Egypt,2012,301.0,301.0,301.0,301.0,301.0,301,15.2,31.6,61.4,44.0,127431.0,127431.0,0.01,23.3,245.0,522.0,214.0,980.0,929.0,722.0,0.0,9.18,1.74
Egypt,2014,919.0,954.5,802.0,919.0,954.5,802,29.15,46.45,62.3,44.25,190284.0,47571.0,0.11,17.98,318.5,476.75,201.5,883.25,875.25,656.75,0.0,11.45,0.72
Egypt,2015,936.5,976.5,796.0,936.5,976.5,796,29.15,46.45,62.3,44.0,190284.0,47571.0,0.11,17.98,313.75,542.25,208.5,889.0,859.75,578.0,0.0,11.85,0.57
Estonia,2012,350.0,350.0,350.0,350.0,350.0,350,17.8,42.0,34.4,45.0,10269.0,10269.0,0.03,13.0,359.0,522.0,214.0,593.0,353.0,387.0,0.0,16.46,-0.05
Estonia,2013,351.0,351.0,351.0,351.0,351.0,351,18.6,42.4,52.4,45.0,10269.0,10269.0,0.03,13.0,359.0,522.0,214.0,593.0,353.0,387.0,0.0,16.46,0.1
Estonia,2014,351.0,351.0,351.0,556.0,556.0,556,20.3,43.7,46.2,45.0,10269.0,10269.0,0.03,13.0,353.0,478.0,210.0,600.0,388.0,406.0,-205.0,16.15,-0.6
Estonia,2015,537.0,537.0,537.0,537.0,537.0,537,18.6,42.4,46.2,45.0,10269.0,10269.0,0.03,13.0,365.0,567.0,218.0,586.0,318.0,368.0,0.0,16.77,-0.75
Finland,2012,268.8,301.0,91.0,268.4,301.0,89,26.32,41.8,47.4,45.0,72773.0,14554.6,0.08,16.14,308.0,326.2,187.0,327.6,331.4,441.8,0.4,12.73,0.2
Finland,2013,262.6,301.0,109.0,260.4,301.0,98,29.9,44.9,56.34,45.0,70150.0,14030.0,0.08,16.26,302.6,325.8,187.4,358.8,359.6,433.6,2.2,12.64,0.26
Finland,2014,379.11,351.0,100.0,447.44,425.0,110,28.95,47.78,57.43,46.0,145329.0,16147.67,0.09,16.06,310.11,374.0,195.22,457.22,433.67,501.67,-68.33,12.79,-0.13
Finland,2015,369.3,326.0,103.0,442.9,431.5,111,29.5,50.56,58.73,45.3,148815.0,14881.5,0.1,16.84,325.5,421.1,206.5,450.9,414.4,521.5,-73.6,13.03,-0.12
France,2012,140.45,100.0,48.0,138.36,100.0,48,35.77,63.02,72.08,46.82,211815.0,19255.91,0.19,12.89,164.0,278.55,115.64,218.55,189.0,223.64,2.09,11.46,-0.03
France,2013,161.79,168.0,36.0,156.36,134.5,36,38.51,61.29,72.16,46.93,277395.0,19813.93,0.18,12.64,201.86,301.07,139.64,280.71,247.07,269.71,5.43,13.28,0.09
France,2014,521.32,557.0,35.0,524.15,557.0,35,34.31,53.95,65.45,46.32,1105870.0,20865.47,0.15,15.28,290.42,436.7,190.75,539.06,467.23,498.08,-2.83,13.28,0.1
France,2015,522.42,555.0,37.0,520.92,555.0,36,34.28,54.56,65.38,45.92,1084919.0,20863.83,0.15,15.26,287.73,489.1,195.58,544.94,474.4,507.62,1.5,13.66,0.1
Germany,2012,181.21,191.5,45.0,181.29,191.5,45,37.07,55.47,59.34,46.25,650752.0,27114.67,0.14,33.98,251.92,350.67,161.38,264.08,254.12,263.79,-0.08,5.89,-0.04
Germany,2013,187.3,201.0,48.0,187.3,201.0,48,39.81,53.55,66.71,46.78,773414.0,28644.96,0.13,38.04,247.0,372.89,166.93,260.15,250.67,264.0,0.0,5.13,-0.01
Germany,2014,364.7,298.0,55.0,372.83,299.5,55,34.5,53.03,64.57,46.39,1559953.0,24374.27,0.14,26.36,279.02,399.59,186.2,386.84,351.64,390.97,-8.12,9.11,-0.2
Germany,2015,348.1,292.0,29.0,361.57,296.0,29,35.08,53.07,65.21,46.11,1537552.0,24405.59,0.14,25.79,286.7,442.65,192.81,379.3,341.6,361.21,-13.48,9.56,-0.26
Greece,2012,276.0,276.0,276.0,276.0,276.0,276,13.1,42.6,66.7,45.0,14650.0,14650.0,0.05,26.9,361.0,522.0,214.0,486.0,508.0,458.0,0.0,7.96,0.76
Greece,2013,301.0,301.0,301.0,301.0,301.0,301,17.1,44.4,68.6,45.0,14650.0,14650.0,0.05,26.9,361.0,522.0,214.0,486.0,508.0,458.0,0.0,7.96,0.75
Greece,2014,556.71,582.0,301.0,592.43,582.0,331,31.57,50.79,63.03,45.0,140356.0,20050.86,0.13,17.73,328.14,444.86,210.0,497.43,713.29,475.14,-35.71,12.23,0.3
Greece,2015,554.86,582.0,301.0,585.43,582.0,301,31.69,50.77,63.23,44.71,140356.0,20050.86,0.13,17.73,341.29,514.57,218.0,510.29,727.29,561.29,-30.57,12.69,0.42
Hong Kong,2012,161.17,172.0,34.0,161.17,172.0,34,42.05,69.38,51.43,46.5,91656.0,15276.0,0.29,15.93,303.17,352.67,195.33,274.33,602.83,370.67,0.0,14.83,0.54
Hong Kong,2013,159.67,153.0,35.0,159.67,153.0,35,46.95,68.97,56.27,46.5,91656.0,15276.0,0.29,15.93,303.17,352.67,195.33,274.33,602.83,370.67,0.0,14.83,0.52
Hong Kong,2014,160.33,155.0,43.0,347.0,333.0,155,39.92,68.7,60.02,46.67,91656.0,15276.0,0.29,15.93,297.0,336.33,189.67,272.0,604.83,367.67,-186.67,14.36,-0.05
Hong Kong,2015,152.83,160.5,43.0,347.5,336.5,170,40.62,71.2,65.28,45.83,91656.0,15276.0,0.29,15.93,309.17,369.17,201.0,276.67,600.17,373.5,-194.67,15.31,0.07
Hungary,2014,671.17,692.5,371.0,671.17,692.5,371,33.8,51.4,62.6,45.0,125706.0,20951.0,0.14,16.2,290.83,478.0,190.33,699.17,643.83,591.5,0.0,11.75,0.37
Hungary,2015,697.33,699.0,458.0,697.33,699.0,458,33.8,51.4,62.6,44.17,125706.0,20951.0,0.14,16.2,302.17,567.0,198.83,709.17,639.83,582.5,0.0,12.27,0.33
Iceland,2012,276.0,276.0,276.0,276.0,276.0,276,10.7,56.9,62.4,45.0,13960.0,13960.0,0.08,25.9,361.0,522.0,214.0,620.0,303.0,316.0,0.0,8.26,0.16
Iceland,2013,251.0,251.0,251.0,251.0,251.0,251,11.4,59.9,71.0,45.0,13960.0,13960.0,0.08,25.9,361.0,522.0,214.0,620.0,303.0,316.0,0.0,8.26,0.24
Iceland,2014,251.0,251.0,251.0,516.0,516.0,516,12.5,59.9,71.1,45.0,13960.0,13960.0,0.08,25.9,355.0,478.0,210.0,629.0,311.0,310.0,-265.0,8.11,-0.2
Iceland,2015,251.0,251.0,251.0,461.0,461.0,461,14.9,59.1,74.8,45.0,13960.0,13960.0,0.08,25.9,367.0,567.0,218.0,612.0,295.0,321.0,-210.0,8.42,-0.13
India,2012,301.0,301.0,301.0,301.0,301.0,301,43.8,14.3,38.8,45.0,8327.0,8327.0,0.01,14.9,361.0,492.0,214.0,522.0,800.0,627.0,0.0,14.36,1.07
India,2013,276.0,251.0,226.0,276.0,251.0,226,40.63,17.2,43.47,45.0,26316.0,8772.0,0.01,17.03,361.0,355.0,214.0,621.33,886.0,650.33,0.0,12.68,1.2
India,2014,559.8,535.0,226.0,626.13,576.0,328,33.47,36.07,56.65,44.87,228471.0,15231.4,0.08,16.15,326.0,334.0,210.0,664.67,801.0,578.2,-66.33,13.65,0.38
