country,year,world_rank,cwur_world_rank,cwur_national_rank,teaching,international,research,citations,num_students,student_staff_ratio,international_students,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score
South Korea,2013,131.17,128.0,4.0,58.43,29.75,59.53,53.65,18608.83,13.62,0.1,317.67,165.67,195.17,1033,1795,1388,1504,149,49.33
South Korea,2014,516.38,511.97,17.5,36.7,46.47,33.19,58.47,20100.88,15.64,0.13,351.59,385.21,210.0,19188,23227,19522,21165,6481,46.32
South Korea,2015,532.78,544.67,18.5,36.81,47.09,33.54,59.01,20148.11,15.67,0.13,363.61,448.36,218.0,20805,24739,21386,23011,6952,45.86
Spain,2012,276.88,276.88,7.25,22.91,39.35,16.18,54.52,32843.75,13.54,0.12,360.88,439.62,214.0,2143,2842,2894,2595,2587,46.12
Spain,2013,279.57,279.57,8.29,26.91,40.36,21.77,64.21,33086.29,14.83,0.1,361.0,460.71,214.0,1993,2386,2464,2208,2734,46.29
Spain,2014,606.93,621.26,20.93,30.84,48.3,27.02,60.96,22828.95,15.55,0.13,345.02,438.9,209.9,23418,26718,23670,25691,17565,45.1
Spain,2015,617.9,620.98,20.5,31.3,49.04,27.36,61.78,23133.3,15.6,0.13,356.15,501.3,217.9,22267,25319,22742,24529,18188,44.72
Sweden,2012,167.2,171.0,7.1,34.44,59.17,41.81,56.75,17850.5,13.17,0.14,234.3,329.8,164.4,2393,2214,2236,2149,6893,47.1
Sweden,2013,174.2,176.0,7.1,36.85,58.41,46.46,63.37,17850.5,13.17,0.14,239.3,329.8,164.9,2373,2203,2203,2149,6893,47.1
Sweden,2014,214.67,246.67,7.0,32.28,57.91,38.32,63.36,18367.25,13.68,0.14,255.08,342.67,161.08,3358,3282,2861,2948,8333,47.92
Sweden,2015,225.42,255.67,7.0,33.53,57.36,39.12,63.59,18367.25,13.68,0.14,242.17,366.0,165.25,3449,3294,2975,3087,9773,47.33
Switzerland,2012,75.11,70.89,7.11,44.53,82.31,41.36,76.5,16802.22,14.67,0.26,148.56,257.78,123.11,1720,1456,1436,1553,2708,49.22
Switzerland,2013,109.9,100.7,7.2,43.26,78.6,40.95,76.3,16163.6,17.89,0.26,155.3,261.5,132.8,2408,1838,1799,2119,3384,48.7
Switzerland,2014,163.64,194.45,7.36,39.32,79.08,38.15,72.89,16598.82,17.74,0.25,193.18,305.73,138.73,3274,2451,2556,2769,3943,50.55
Switzerland,2015,158.64,202.09,7.36,40.98,79.52,40.55,73.86,16598.82,17.74,0.25,199.73,336.09,146.09,3316,2464,2581,2784,4454,49.27
Taiwan,2012,272.88,272.88,9.88,28.01,17.94,33.2,36.04,12419.75,16.29,0.06,296.75,398.62,214.0,3643,5555,4844,5051,6042,45.62
Taiwan,2013,273.57,273.57,6.29,36.36,23.63,43.03,38.81,14812.71,14.74,0.07,287.57,336.86,214.0,2113,4154,4038,3560,4806,46.29
